ticker,company_name,exchange,sector,overall_rating,planet_friendly_business,honest_fair_business,no_war_no_weapons,fair_pay_worker_respect,better_health_for_all,safe_smart_tech,kind_to_animals,respect_cultures_communities,fair_money_economic_opportunity,fair_trade_ethical_sourcing,zero_waste_sustainable_products
PNC,PNC Financial Services Group Inc,US,Other monetary intermediation,Mixed,-30,10,0,10,10,10,0,25,20,0,0
PNR,Pentair PLC,US,"Manufacture of other pumps, compressors, taps and valves",Mixed,-30,0,10,-10,40,0,0,25,0,-40,20
PNW,Pinnacle West Capital Corp,US,"Electric power generation, transmission and distribution",Mixed,-30,10,-10,10,10,10,0,25,0,-20,-30
PODD,Insulet Corporation,US,Manufacture of medical and dental instruments and supplies,Mixed,-20,20,30,20,40,10,0,0,0,-20,-20
POOL,Pool Corporation,US,Non-specialized wholesale trade,Mixed,-10,0,0,0,0,0,0,20,0,-10,-30
PPG,PPG Industries Inc,US,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",Mixed,-30,-30,-30,-20,0,-30,-10,20,0,-20,-30
PPL,PPL Corporation,US,"Electric power generation, transmission and distribution",Mixed,-20,-10,0,-20,10,0,0,10,0,0,0
PRU,Prudential Financial Inc,US,Life insurance,Mixed,-20,-20,0,20,10,-60,0,25,0,0,0
PSA,Public Storage,US,Real estate activities with own or leased property,Mixed,30,0,0,10,0,0,0,0,0,0,-20
PSX,Phillips 66,US,Manufacture of refined petroleum products,Mixed,-30,-20,-20,-20,-10,0,-20,25,0,-20,-20
PTC,PTC Inc,US,Computer programming activities,Mixed,10,10,-20,30,0,40,0,0,0,0,0
PWR,Quanta Services Inc,US,Construction of other civil engineering projects,Mixed,-20,30,0,0,0,20,0,0,0,-10,-20
PYPL,PayPal Holdings Inc,US,"Other financial service activities, except insurance and pension funding activities, n.e.c.",Mixed,10,50,0,50,0,-60,0,25,20,0,0
QCOM,Qualcomm Incorporated,US,Manufacture of electronic components and boards,Mixed,-30,-30,-20,-20,20,10,0,10,0,-30,-20
RCL,Royal Caribbean Cruises Ltd,US,Sea and coastal passenger water transport,Mixed,-30,-30,0,-10,-10,30,10,25,0,-20,-20
REG,Regency Centers Corporation,US,Real estate activities with own or leased property,Mixed,-30,20,0,20,10,10,0,25,0,0,-20
REGN,Regeneron Pharmaceuticals Inc,US,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Mixed,-30,-30,-20,20,40,-20,-40,25,0,0,0
RF,Regions Financial Corporation,US,Other monetary intermediation,Mixed,-20,-40,-20,20,20,20,0,25,-10,0,0
RJF,Raymond James Financial Inc.,US,Other activities auxiliary to financial service activities,Mixed,0,-40,-20,10,10,0,0,25,-20,0,0
